OBJECTID,SHAPESTArea,SHAPESTLength,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,AnoAberturaEmpreendimento,ClassificacaoTdP,DataUltClassifF,ValidadeClassif,ParecerPostClassif,DataPostClassif,AtribuicaoUT,RecTurNatureza,CertifAmbiental,DesigCertifAmbiental,CertifQualServ,DesigCertifQualServ,OutrasCertifPremios,DesigOutrasCertif,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,NUTSI,ERT,PNCT,RNAP,RedeNatura2000Global,RedeNatura2000Sitios,RedeNatura2000ZPE,FaixaCosteira,ZonaCosteira,ZonaTerrestreProtecao,LimitePROT,LimitePOC,LimiteAlbufeiras,UNESCO,Geoparques,Biosfera,RedeAldeias,FreguesiasCosteiras,NUTSIIICosteiras,DataAtualiza,SeloCleanSafe,RNET
8788062,5.68603515625,8.46235592832148,10118,Casa Boletus,SONIA MARIA CARVALHO RIBEIRO,SONIA MARIA CARVALHO RIBEIRO,CasaDeCampo,0,2,4,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,,azevim.nature@gmail.com,Lugar de Bago de Baixo Castro Laboreiro,4960-027,CASTRO LABOREIRO,"41.99668 ; -8.159295",Fiavel,União das freguesias de Castro Laboreiro e Lamas de Mouro,Melgaço,Viana do Castelo,Alto Minho,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Parque Nacional - Peneda-Geres,Rede Natura 2000 (Global),Peneda/Gerês,Serra do Gerês,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/02 00:00:00+00,Não,10118
8788063,5.26220703125,8.14152547443996,10119,Quinta das Lagartixas,RUI MIGUEL RAMOS ANDRADE,RUI MIGUEL RAMOS ANDRADE,CasaDeCampo,0,2,4,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,0,NA,2021/12/28 00:00:00+00,2026/12/28 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,ruiramosandrade@hotmail.com,Sitio de São Pedro,7330-222,SANTO ANTÓNIO DAS AREIAS,"39.39528 ; -7.37513",Fiavel,Santa Maria de Marvão,Marvão,Portalegre,Alto Alentejo,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Parque Natural - Serra de Sao Mamede,Rede Natura 2000 (Global),São Mamede,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/08 00:00:00+00,Não,10119
8788064,5.3916015625,8.24090569401207,10120,Quinta do Amieiro Longo - Turismo Rural,REQUINTE DINAMICO - UNIPESSOAL LDA,REQUINTE DINAMICO - UNIPESSOAL LDA,Agroturismo,0,5,10,0,5,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,,requintedinamico@hotmail.com,"Rua do Alto da Charneca, 19",6200-570,FERRO,"40.2399024 ; -7.4716401",Fiavel,Ferro,Covilhã,Castelo Branco,Beiras e Serra da Estrela,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/06 00:00:00+00,Não,10120
8788065,5.646484375,8.434581062865,10121,Casa dos Mirtilos,Daniela Gloria,Daniela Gloria,Agroturismo,0,2,4,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,0,NA,2022/06/13 00:00:00+00,2027/06/13 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,DANIELA.PINTO.GLORIA@GMAIL.COM,"Caminho da Cerca, 64",4980-330,GERMIL PTB,"41.7829854 ; -8.2656334",PoucoFiavel,"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil",Ponte da Barca,Viana do Castelo,Alto Minho,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Parque Nacional - Peneda-Geres,Rede Natura 2000 (Global),Peneda/Gerês,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/11 00:00:00+00,Não,10121
8788066,5.41845703125,8.26206717774052,10124,Quinta do Rabaçal,LANGEREIS - EMPREENDIMENTOS TURÍSTICOS LDA,LANGEREIS - EMPREENDIMENTOS TURÍSTICOS LDA,CasaDeCampo,0,11,22,11,0,0,0,0,NaoIntegra,,Não,Não,0,Sim,Piscina e Ginásio,2022,NA,2022/06/20 00:00:00+00,2027/06/20 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,www.quintarabacal.com,quintarabacal@gmail.com,Quinta do Rabaçal - Vila do Mato,3420-149,MIDÕES TBU,"40.402465 ; -7.95434",Fiavel,Midões,Tábua,Coimbra,Região de Coimbra,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Limite POAAP - Aguieira,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Sim,2022/04/08 00:00:00+00,Não,10124
8788067,5.64501953125,8.43297134505469,10126,Casa do Cruzeiro do Outeiro,Sofia Magalhães Abreu Lima Cerquinho Fonseca,Sofia Magalhães Abreu Lima Cerquinho Fonseca,CasaDeCampo,0,5,10,2,3,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,0,NA,2022/03/29 00:00:00+00,2027/03/29 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,paulocerquinho@gmail.com,"Rua do Outeiro, 462",4990-246,PONTE DE LIMA,"41.7228407 ; -8.5371976",PoucoFiavel,Arcozelo,Ponte de Lima,Viana do Castelo,Alto Minho,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/12 00:00:00+00,Sim,10126
8788068,5.6416015625,8.43069748642205,10127,O Palheirinho - Turismo rural,Maria Eduarda Portela dos Santos,Maria Eduarda Portela dos Santos,CasaDeCampo,0,1,2,1,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2020,NA,2020/09/24 00:00:00+00,2025/09/24 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,davidepinela@gmail.com,"Rua da Caleja, nº 4",5300-855,BRAGANÇA,"41.7763381 ; -6.7569419",Fiavel,São Pedro de Sarracenos,Bragança,Bragança,Terras de Trás-os-Montes,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/05 00:00:00+00,Não,10127
8788069,9402.42724609375,484.760069240016,1013,Quinta do Silval,"Sociedade da Casa Agricola da Quinta do Silval, S","Sociedade da Casa Agricola da Quinta do Silval, S",HotelRural,4,14,28,14,0,0,0,0,NaoIntegra,,Não,Sim,0,Não, ,2005,Sim,2011/04/28 00:00:00+00,2015/04/28 00:00:00+00,Não,,Sim,Não,Não,,Não,,Não,,Não,www.quintadosilval.pt,reservations@quintadosilval.pt,comercial@quintadosilval.pt,5085-104,Vale de Mendiz,"41,2307925762659 ; -7,52901177865246",Fiavel,"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",Alijó,Vila Real,Douro,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Norte,Não abrangido,Não abrangido,Alto Douro Vinhateiro,Não abrangido,Não abrangido,Não Abrangido,Não,Não,,Sim,1013
8788070,5.47216796875,8.30253978649606,10131,Quinta da Figueira,José Martins Rodrigues Pereira,José Martins Rodrigues Pereira,CasaDeCampo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,0,NA,2022/04/12 00:00:00+00,2027/04/12 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,RodriguesTavaresAnd@gmail.com,"Porcelhe, Arcozelo das Maias",3680-019,ARCOZELO DAS MAIAS,"40.7380261 ; -8.2551587",PoucoFiavel,Arcozelo das Maias,Oliveira de Frades,Viseu,Viseu Dão Lafões,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/11 00:00:00+00,Não,10131
8788071,5.599365234375,8.39859836961653,10132,Alvão Village Camping,MUNICIPIO DE VILA POUCA AGUIAR,MUNICIPIO DE VILA POUCA AGUIAR,ParqueCampismo/Caravanismo,3,0,0,0,0,0,0,200,NaoIntegra,,Não,Sim,40,Não,Piscinas,2015,NA,2022/04/01 00:00:00+00,2027/04/01 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,,turismo@cm-vpaguiar.pt,Estrada Municipal 555,5450-101,ALVÃO,"41.5181533 ; -7.6700521",Fiavel,Soutelo de Aguiar,Vila Pouca de Aguiar,Vila Real,Alto Tâmega,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não abrangido,Rede Natura 2000 (Global),Alvâo/Marão,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2022/04/06 00:00:00+00,Não,10132
8788072,384.72802734375,119.164381098799,10138,DUERMING REPUBLIK,"TERRARA TÊXTEIS\, S.A.","PARTILHA DOMINIO\, LDA",HotelApartamento,2,15,30,0,0,15,0,0,NaoIntegra,,Não,Não,0,Não,,2022,Sim,,,Não,,Não,Não,Não,,Não,,Não,,Não,,direccion.oriental@ocahotels.pt,"Rua Gonçalo Cristóvão, 334-338",4000-266,PORTO,,Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/01/04 00:00:00+00,Não,10138
8788073,1038.39306640625,135.746286786111,1014,Católica Hotel,"IRIATUR-EMPREENDIMENTOS TURISTICOS, LDA","IRIATUR-EMPREENDIMENTOS TURISTICOS, LDA",Hotel,3,49,89,45,4,0,0,0,NaoIntegra,,Não,Sim,50,Não,"Bar; Sala de estar; Sala de Refeições",0,Sim,2020/01/15 00:00:00+00,2025/01/15 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.catolicahotel.com,bemvindo@catolicahotel.com,Rua Santa Isabel,2495-424,Fátima,"39,6295519262489 ; -8,67069294125551",Fiavel,Fátima,Ourém,Santarém,Médio Tejo,Centro,Continente,Turismo do Centro de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Oeste e Vale do Tejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2020/01/21 00:00:00+00,Sim,1014
8788074,5.55029296875,8.36157308714822,10141,Casa de Pena d'Águia,ALMA DURIENSE - TURISMO LDA,ALMA DURIENSE - TURISMO LDA,CasaDeCampo,0,3,6,3,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,NA,2022/05/06 00:00:00+00,2027/05/06 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,alma.duriense@hotmail.com,"Rua do Vale, 36",5060-262,PROVESENDE,"41.21619 ; -7.56196",Fiavel,"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",Sabrosa,Vila Real,Douro,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Alto Douro Vinhateiro - Zona Especial de Proteção,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/12 00:00:00+00,Não,10141
8788075,5.4140625,8.25796500569133,10143,Quinta da Cerca,Leonardo Jan Baptista Willen Min,Leonardo Jan Baptista Willen Min,Agroturismo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina,2022,NA,2022/06/20 00:00:00+00,2027/06/20 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,,info@quintadacerca.com,Quinta da Cerca - Casal da Senhora,3420-132,MIDÕES TBU,"40.383295 ; -7.96092",Fiavel,Midões,Tábua,Coimbra,Região de Coimbra,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/02 00:00:00+00,Não,10143
8788076,5.413330078125,8.25802662923804,10144,Quinta da Cerca,Leonardo Jan Baptista Willen Min,Leonardo Jan Baptista Willen Min,ParqueCampismo/Caravanismo,Sem atribuição de ,0,0,0,0,0,0,90,NaoIntegra,,Não,Não,0,Não,Piscina,2022,NA,2022/06/20 00:00:00+00,2027/06/20 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,,info@quintadacerca.com,Quinta Da Cerca - Casa da Senhora,3420-132,MIDÕES TBU,"40.383295 ; -7.96092",Fiavel,Midões,Tábua,Coimbra,Região de Coimbra,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/02 00:00:00+00,Não,10144
8788077,842.552734375,128.17579495344,10145,Brown's Avenue,"BROWN'S AVENUE - HOTÉIS\, LDA","BROWN'S AVENUE - HOTÉIS\, LDA",Hotel,5,44,74,42,2,0,0,0,NaoIntegra,,Não,Sim,40,Não,"Bar; Sala de estar; Piscina exterior;",2022,Sim,2022/10/13 00:00:00+00,2027/10/13 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.brownshotelgroup.com,anibal.vila@brownshotelgroup.com,"Rua Rodrigues Sampaio, nº 48",1150-280,LISBOA,"38,7221577431771 ; -9,14563554902898",Fiavel,Santo António,Lisboa,Lisboa,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,Continente,Entidade Regional de Turismo da Região de Lisboa,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Área Metropolitana de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/10/18 00:00:00+00,Sim,10145
8788078,28089.6245117188,836.394715737025,10147,Hotel Douro Vale de Campos,"ANTONIO ALEXANDRE NUNES COELHO\, S.A.","ANTONIO ALEXANDRE NUNES COELHO\, S.A.",Hotel,3,12,20,10,2,0,0,0,NaoIntegra,,Não,Não,0,Sim,"Ténis, Ginásio, Piscina interior e exterior",2012,Sim,2022/07/04 00:00:00+00,2027/07/04 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,,valedecampos2012@gmail.com,Rua da Tapada nº 92,4560-017,ABRAGÃO,"41,1627716887715 ; -8,20378410478691",Fiavel,Abragão,Penafiel,Porto,Tâmega e Sousa,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2022/07/06 00:00:00+00,Não,10147
8788079,5.5537109375,8.3647702493532,10148,The Village House By CDV,André Luis Reis Morgado,CDV-UNIDADES HOTELEIRAS LDA,CasaDeCampo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,www.thevillagehouse.pt,reservas@thevillagehouse.pt,Praça Antero de Quental 7,5140-057,CARRAZEDA DE ANSIÃES,"41.2431145 ; -7.3022047",Fiavel,Carrazeda de Ansiães,Carrazeda de Ansiães,Bragança,Douro,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/02 00:00:00+00,Não,10148
8788080,5.62939453125,8.42043487276809,10149,Casa do Rancho,Marta de Pinho Pimenta,MARTA DE PINHO PIMENTA,CasaDeCampo,0,3,6,3,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,,martapinhopimenta@gmail.com,Rua Senhora da Boa Viagem nº 766 A,4720-558,PARANHOS AMR,"41.67287 ; -8.344705",Fiavel,"União das freguesias de Caldelas, Sequeiros e Paranhos",Amares,Braga,Cávado,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/14 00:00:00+00,Sim,10149
8788081,5.59521484375,8.39578946233137,1015,Casa dos Pimenteis-Vale de Algoso,RURALMONTES TURISMO RURAL UNIPESSOAL LDA,RURALMONTES TURISMO RURAL UNIPESSOAL LDA,CasaDeCampo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Sim,20,Não, ,2003,NA,2015/12/15 00:00:00+00,2020/12/15 00:00:00+00,NA,,Sim,Não,Não,,Não,,Não,,Não,www.casadospimenteis.online.pt,pimentel@casadospimenteis.online.pt,Vale de Algoso Vimioso Bragança,5230-100,Campo de Víboras,"41,4978827144673 ; -6,53883212318006",Fiavel,"União das freguesias de Algoso, Campo de Víboras e Uva",Vimioso,Bragança,Terras de Trás-os-Montes,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não abrangido,Rede Natura 2000 (Global),Rios Sabor e Maçãs,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2019/07/18 00:00:00+00,Não,1015
8788082,5.3466796875,8.20610380679209,10156,"Complexo Rural ""Casas da Pia""",Celestino Mendes Bicho,Celestino Mendes Bicho,CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,-,2022,NA,2022/05/17 00:00:00+00,2027/05/17 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,,complexoruralcasasdapia@gmail.com,Rua Nossa Senhora dos Remédios nº 63 - Pião,3240-561,LAGARTEIRA,"39.9462315 ; -8.4062758",Fiavel,Ansião,Ansião,Leiria,Região de Leiria,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não abrangido,Rede Natura 2000 (Global),Sicó/Alvaiazere,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/02 00:00:00+00,Não,10156
8788083,5.175048828125,8.0744638336019,1016,Casa do Terreiro do Poço,SOCIEDADE AGRO TURISTICA DA VINHA DO CAMPO LDA,SOCIEDADE AGRO TURISTICA DA VINHA DO CAMPO LDA,TurismoDeHabitacao,0,14,28,14,0,0,0,0,NaoIntegra,,Não,Sim,0,Não,,0,NA,2018/09/04 00:00:00+00,2023/09/04 00:00:00+00,NA,,Não,Não,Não,,Sim,ERS 3001/2,Não,,Não,www.casadoterreirodopoco.com,geral@casadoterreirodopoco.com,"Largo dos Combatentes da Grande Guerra,12",7150-152,Borba,"38,8046719177908 ; -7,45875972618401",Fiavel,Borba (São Bartolomeu),Borba,Évora,Alentejo Central,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,,Sim,1016
8788084,5.436279296875,8.27497276798921,10162,New Life Portugal - Quinta da Forja,"NEW LIFE PORTUGAL\, S.A.","NEW LIFE PORTUGAL\, S.A.",CasaDeCampo,0,11,11,11,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,,, ,,Não,Sim,Não,,Não,,Não,,Não,,finance@newlifeportugal.com,Rua das Regadas nº 1,6290-081,FOLGOSINHO,"40.46941 ; -7.59743",Fiavel,Folgosinho,Gouveia,Guarda,Beiras e Serra da Estrela,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Parque Natural - Serra da Estrela,Rede Natura 2000 (Global),Serra da Estrela,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/21 00:00:00+00,Não,10162
8788085,1423689.3762207,4738.05855275665,10165,Monte da Bela Raposa,"Monte da Bela Raposa, Lda.","Monte da Bela Raposa, Lda.",HotelRural,4,10,22,10,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,Nao,,,Não,,Não,Não,Não,,Não,,Não,,Não,,secretariado@scvs.pt,EN 251 km 85+600,7490-426,PAVIA,"38,87628922515 ; -7,95886176681574",Fiavel,Vimieiro,Mora,Évora,Alentejo Central,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/21 00:00:00+00,Não,10165
8788086,5.58837890625,8.39077507379955,10166,Casal do Bairro,"AMJ-Soc. Imobiliária, S.A.","Ana Maria Meireles - Unipessoal, Lda.",CasaDeCampo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,2022/12/20 00:00:00+00,2027/12/20 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,pedropinto@gabinetetecnico.eu,"Rua da Cruz, n.º 260",4810-570,GÉMEOS GMR,"41.44424 ; -8.30691",Fiavel,Creixomil,Guimarães,Braga,Ave,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/21 00:00:00+00,Não,10166
8788087,5.5107421875,8.33238637134671,10167,Quinta de Bouças - Alvarenga,Ricardo Noronha Lima Teles,Rio Paiva Bouças Turismo LDA,Agroturismo,0,3,6,3,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,2021/10/25 00:00:00+00,2026/10/25 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,sergionespereira@hotmail.com,"Lugar de Bouças, Arouca",4540-023,ALVARENGA ARC,"40.98797 ; -8.1866731",Fiavel,Alvarenga,Arouca,Aveiro,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Rede Natura 2000 (Global),Rio Paiva,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/27 00:00:00+00,Não,10167
8788088,14736.4658203125,614.063768902957,10168,"Borralha - Hotel, Restaurante & Spa",AMBL - EXPLORAÇÕES HOTELEIRAS LDA,AMBL - EXPLORAÇÕES HOTELEIRAS LDA,Hotel,4,29,60,29,0,0,0,0,NaoIntegra,,Não,Sim,50,Sim,"Auditório; Piscina exterior",2022,Sim,2022/10/20 00:00:00+00,2027/10/20 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.borralhahotel.com,geral@borralhahotel.com,"Travessa Moreira de Carvalho, nº 2",5000-423,VILA REAL,"41,3137977552483 ; -7,73480072451599",Fiavel,Vila Real,Vila Real,Vila Real,Douro,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Alto Douro Vinhateiro - Zona Especial de Proteção,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2022/10/25 00:00:00+00,Não,10168
8788089,1032.3359375,138.894395392035,1017,Hotel Mercure Lisboa Almada,"SITH - Sociedade de Investimentos Turisticos e Hoteleiros, S.A.","Ondaplatina-Gestão e Exploração Hoteleira, Lda.",Hotel,4,106,212,106,0,0,0,0,NaoIntegra,,Não,Sim,70,Não,Zona de estar com bar,2010,Sim,2020/02/02 00:00:00+00,2025/02/02 00:00:00+00,Não,,Sim,Não,Não,,Não,,Não,,Não,www.mercure.com,ha040@accor.com,Rua Abel Salazar Nº 9 - 9 A,2805-313,Almada,"38,6707851377109 ; -9,17090113554023",Fiavel,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",Almada,Setúbal,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,Continente,Entidade Regional de Turismo da Região de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Área Metropolitana de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2020/02/10 00:00:00+00,Sim,1017
